"airbnb_listing_id","latitude","longitude","suburb","country","state","city","aquisition_date"
"31465816","-27.13769","-48.59224","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:39:17.803"
"35968764","-27.09","-48.60684","Canto da Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:47:26.800"
"774060818755528184","-27.13197","-48.60191","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:39:23.748"
"768032727158094436","-27.1170005798","-48.6069984436","Meia Praia","Brasil","Santa Catarina","Itapema","2022-12-06 12:43:34.000"
"766429111795213657","-27.0879993439","-48.6129989624","Alto Sao Bento","Brasil","Santa Catarina","Itapema","2022-12-06 12:43:34.000"
"578367085112487086","-27.138999938964844","-48.59600067138672","Meia Praia","Brasil","Santa Catarina","Itapema","2023-02-09 15:17:56.000"
"49838353","-27.13031","-48.60115","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:39:23.748"
"46250277","-27.12815","-48.60147","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:39:23.748"
"742766346462755065","-27.1306876","-48.5991366","Meia Praia","Brasil","Santa Catarina","Itapema","2022-11-08 18:24:34.000"
"670778657683556451","-27.1304644","-48.5999387","Meia Praia","Brasil","Santa Catarina","Itapema","2022-08-15 20:53:40.000"
"708889911065031410","-27.12425","-48.6046","Meia Praia","Brasil","Santa Catarina","Itapema","2024-10-07 19:33:08.671"
"718952546551607269","-27.1172278","-48.6119926","Morretes","Brasil","Santa Catarina","Itapema","2022-10-03 13:39:14.000"
"38640237","-27.12034","-48.60797","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-19 17:34:55.678"
"871084107630048364","-27.1267742","-48.6054368","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-19 17:34:55.678"
"1077461204066333262","-27.1379245","-48.593278","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-19 17:35:18.070"
"1081972140987250431","-27.1439909","-48.58763339999999","Meia Praia","Brasil","Santa Catarina","Itapema","2024-12-19 17:35:18.070"
"1137698308528017474","-27.12800025939941","-48.60100173950195","Meia Praia","Brasil","Santa Catarina","Itapema","2024-04-22 19:01:09.296"
"32185033","-27.1254","-48.63112","Sertao do Trombudo","Brasil","Santa Catarina","Itapema","2024-10-21 19:01:03.874"
"17013106","-27.10962","-48.61049","Morretes","Brasil","Santa Catarina","Itapema","2024-10-07 19:31:21.816"
"10870815","-27.12105","-48.60726","Meia Praia","Brasil","Santa Catarina","Itapema","2021-10-25 14:40:16.352"
"1012914270479739624","-27.1299991607666","-48.60300064086914","Meia Praia","Brasil","Santa Catarina","Itapema","2023-11-06 19:01:01.116"
"1004496327455456339","-27.11788749694824","-48.61022186279297","Morretes","Brasil","Santa Catarina","Itapema","2023-11-06 19:02:14.126"
